Trial,MSE,Subject
1,21.658563791959608,DP066_PMA_allTrials.csv
2,25.881341170775695,DP066_PMA_allTrials.csv
3,80.83846228622606,DP066_PMA_allTrials.csv
4,23.108086883443324,DP066_PMA_allTrials.csv
5,3.4265512849635456,DP066_PMA_allTrials.csv
6,302.67192019568876,DP066_PMA_allTrials.csv
7,12.205628607282584,DP066_PMA_allTrials.csv
8,14.483919182169634,DP066_PMA_allTrials.csv
9,18.316748046704564,DP066_PMA_allTrials.csv
10,3.0502857377396,DP066_PMA_allTrials.csv
11,41.67811443005057,DP066_PMA_allTrials.csv
12,6.806797457915635,DP066_PMA_allTrials.csv
13,33.65834283239409,DP066_PMA_allTrials.csv
14,0.9668383304231881,DP066_PMA_allTrials.csv
15,6.605952105116355,DP066_PMA_allTrials.csv
16,116.34283518837074,DP066_PMA_allTrials.csv
17,6.097722865027569,DP066_PMA_allTrials.csv
18,1.9684921499775212,DP066_PMA_allTrials.csv
19,15.419119144171995,DP066_PMA_allTrials.csv
20,1.9990119353907236,DP066_PMA_allTrials.csv
21,16.92525919058246,DP066_PMA_allTrials.csv
22,0.8217824281868044,DP066_PMA_allTrials.csv
23,15.784533813443971,DP066_PMA_allTrials.csv
24,32.93513961281863,DP066_PMA_allTrials.csv
25,2.1811379031302924,DP066_PMA_allTrials.csv
26,1.7001345050026784,DP066_PMA_allTrials.csv
27,9.646729345452508,DP066_PMA_allTrials.csv
1,3.848067988186865,DP068_PMA_allTrials.csv
2,3.04062269845191,DP068_PMA_allTrials.csv
3,3.0884889994724287,DP068_PMA_allTrials.csv
4,0.2526469386788542,DP068_PMA_allTrials.csv
5,5.921139013104635,DP068_PMA_allTrials.csv
6,18.753067255208286,DP068_PMA_allTrials.csv
7,28.913815796641195,DP068_PMA_allTrials.csv
8,15.776843847892625,DP068_PMA_allTrials.csv
9,0.9332130094584098,DP068_PMA_allTrials.csv
10,1.805960737527452,DP068_PMA_allTrials.csv
11,1.083155166198743,DP068_PMA_allTrials.csv
12,0.8119786622540768,DP068_PMA_allTrials.csv
13,1.300117936591704,DP068_PMA_allTrials.csv
14,31.069790438622675,DP068_PMA_allTrials.csv
15,2.2759154765880596,DP068_PMA_allTrials.csv
16,2.9224792406452513,DP068_PMA_allTrials.csv
17,4.566459544923912,DP068_PMA_allTrials.csv
18,1.7712945989998448,DP068_PMA_allTrials.csv
19,2.9547359750546693,DP068_PMA_allTrials.csv
20,0.8451158526992132,DP068_PMA_allTrials.csv
21,5.393852052233722,DP068_PMA_allTrials.csv
22,0.09442449878044201,DP068_PMA_allTrials.csv
23,3.392278489796703,DP068_PMA_allTrials.csv
24,1.5869835614341852,DP068_PMA_allTrials.csv
25,1.5696145253833391,DP068_PMA_allTrials.csv
26,0.7885288344104772,DP068_PMA_allTrials.csv
27,4.296659409804268,DP068_PMA_allTrials.csv
1,14.212675075325429,DP069_PMA_allTrials.csv
2,7.710588589850263,DP069_PMA_allTrials.csv
3,9.267453624971408,DP069_PMA_allTrials.csv
4,1.0299282015105244,DP069_PMA_allTrials.csv
5,4.4018036629960955,DP069_PMA_allTrials.csv
6,1.7501967917792545,DP069_PMA_allTrials.csv
7,0.9534375842013796,DP069_PMA_allTrials.csv
8,1.1280821753395391,DP069_PMA_allTrials.csv
9,2.0959325628664933,DP069_PMA_allTrials.csv
10,0.14493017754409832,DP069_PMA_allTrials.csv
11,1.0765256323768633,DP069_PMA_allTrials.csv
12,0.7252162983935844,DP069_PMA_allTrials.csv
13,0.2450627576020265,DP069_PMA_allTrials.csv
14,9.319954436741622,DP069_PMA_allTrials.csv
15,1.063285529367268,DP069_PMA_allTrials.csv
16,2.271387107545998,DP069_PMA_allTrials.csv
17,0.44840937945273734,DP069_PMA_allTrials.csv
18,1.2260429578006404,DP069_PMA_allTrials.csv
19,5.0095397827006325,DP069_PMA_allTrials.csv
20,0.10075160462267914,DP069_PMA_allTrials.csv
21,2.32251469031781,DP069_PMA_allTrials.csv
22,1.916158678097192,DP069_PMA_allTrials.csv
23,2.7568592265563585,DP069_PMA_allTrials.csv
24,1.0595976216053062,DP069_PMA_allTrials.csv
25,0.4268614709167694,DP069_PMA_allTrials.csv
26,3.5545771785188913,DP069_PMA_allTrials.csv
27,1.1029035203057378,DP069_PMA_allTrials.csv
1,5.828912098988458,DP088_PMA_allTrials.csv
2,2.365796897857578,DP088_PMA_allTrials.csv
3,4.489479177650938,DP088_PMA_allTrials.csv
4,1.1503229127280161,DP088_PMA_allTrials.csv
